lng,lat,class,count
116.37,39.93,淫秽广告,37
116.37,39.94,淫秽广告,27
116.38,39.93,淫秽广告,2
116.37,39.95,淫秽广告,47
116.38,39.95,淫秽广告,8
116.38,39.96,淫秽广告,19
116.47,39.97,淫秽广告,6
116.46000000000001,39.95,淫秽广告,50
116.38,40.0,淫秽广告,43
116.41,39.96,淫秽广告,131
116.42,39.96,淫秽广告,30
116.41,39.980000000000004,淫秽广告,12
116.39,39.96,淫秽广告,104
116.44,39.95,淫秽广告,11
116.44,39.96,淫秽广告,54
116.45,39.86,代开发票或办证,119
116.39,39.95,淫秽广告,99
116.39,39.94,淫秽广告,39
116.44,39.97,代开发票或办证,31
116.43,39.97,代开发票或办证,21
116.59,40.04,房产广告,9
116.58,40.050000000000004,房产广告,2
116.5,40.0,房产广告,1
116.47,39.93,贷款广告,40
116.48,39.92,贷款广告,26
116.47,39.93,淫秽广告,2
116.48,39.92,淫秽广告,8
116.4,39.94,淫秽广告,5
116.44,39.93,淫秽广告,11
116.43,39.96,代开发票或办证,49
116.46000000000001,40.02,代开发票或办证,34
116.46000000000001,40.01,代开发票或办证,30
116.47,40.0,代开发票或办证,19
116.46000000000001,39.99,代开发票或办证,34
116.27,39.87,代开发票或办证,35
116.27,39.86,代开发票或办证,11
116.27,39.89,代开发票或办证,145
116.26,40.12,代开发票或办证,20
116.25,40.12,代开发票或办证,3
116.27,40.12,代开发票或办证,3
116.28,40.1,代开发票或办证,18
116.27,40.1,代开发票或办证,3
116.48,39.89,房产广告,14
116.47,39.86,房产广告,65
116.47,39.87,房产广告,63
116.27,39.88,代开发票或办证,132
116.47,39.87,代开发票或办证,75
116.47,39.86,代开发票或办证,148
116.31,39.910000000000004,淫秽广告,6
116.51,39.910000000000004,冒充机构诈骗,220
116.58,39.92,冒充机构诈骗,139
116.46000000000001,39.94,其它广告,10
116.32000000000001,40.06,代开发票或办证,33
116.32000000000001,40.050000000000004,代开发票或办证,25
116.48,39.88,代开发票或办证,83
116.33,39.82,冒充机构诈骗,132
116.60000000000001,39.92,冒充机构诈骗,166
116.43,40.06,冒充机构诈骗,10
116.42,40.06,冒充机构诈骗,55
116.46000000000001,39.89,房产广告,74
116.46000000000001,39.88,房产广告,150
116.46000000000001,39.9,房产广告,80
116.23,39.85,代开发票或办证,37
116.23,39.84,代开发票或办证,16
116.33,39.730000000000004,代开发票或办证,42
116.32000000000001,39.730000000000004,代开发票或办证,9
116.46000000000001,39.88,代开发票或办证,498
116.19,39.92,冒充机构诈骗,25
116.36,39.95,代开发票或办证,9
116.47,39.9,其它广告,8
116.46000000000001,39.9,其它广告,1
116.25,39.89,代开发票或办证,46
116.26,39.89,代开发票或办证,25
116.07000000000001,39.660000000000004,代开发票或办证,7
116.06,39.67,代开发票或办证,21
116.06,39.68,代开发票或办证,13
116.21000000000001,39.76,代开发票或办证,9
116.22,39.76,代开发票或办证,4
116.59,39.910000000000004,代开发票或办证,68
116.60000000000001,39.92,代开发票或办证,89
116.26,39.88,代开发票或办证,19
116.29,39.86,代开发票或办证,35
116.51,39.910000000000004,其它广告,36
116.47,39.89,代开发票或办证,161
116.57000000000001,39.94,冒充机构诈骗,4
116.58,39.95,冒充机构诈骗,5
116.61,39.92,代开发票或办证,148
116.33,39.77,代开发票或办证,9
116.60000000000001,39.910000000000004,冒充机构诈骗,101
116.62,39.9,冒充机构诈骗,33
116.42,39.95,代开发票或办证,14
116.42,39.94,代开发票或办证,61
116.38,39.96,代开发票或办证,32
116.3,39.99,代开发票或办证,4
116.47,39.88,代开发票或办证,221
116.46000000000001,39.93,贷款广告,88
116.46000000000001,39.89,代开发票或办证,192
116.48,39.86,房产广告,47
116.49000000000001,39.86,房产广告,7
116.60000000000001,39.910000000000004,其它广告,2
116.60000000000001,39.9,其它广告,3
116.59,39.86,其它广告,1
116.61,39.93,代开发票或办证,5
116.60000000000001,39.94,冒充机构诈骗,19
116.60000000000001,39.95,冒充机构诈骗,3
116.63,39.89,代开发票或办证,22
116.64,39.89,代开发票或办证,50
116.52,39.910000000000004,冒充机构诈骗,100
116.39,39.980000000000004,代开发票或办证,11
116.27,39.94,代开发票或办证,217
116.33,39.83,代开发票或办证,17
116.33,39.800000000000004,代开发票或办证,1
116.32000000000001,39.78,代开发票或办证,2
116.33,39.79,代开发票或办证,7
116.47,39.9,冒充机构诈骗,59
116.5,39.910000000000004,冒充机构诈骗,84
116.46000000000001,39.87,房产广告,130
116.60000000000001,39.89,冒充机构诈骗,5
116.24000000000001,39.89,代开发票或办证,45
116.46000000000001,39.93,其它广告,39
116.32000000000001,39.730000000000004,冒充机构诈骗,38
116.42,39.84,冒充机构诈骗,113
116.42,39.83,冒充机构诈骗,42
116.49000000000001,39.92,冒充机构诈骗,123
116.5,39.92,冒充机构诈骗,212
116.49000000000001,39.88,代开发票或办证,16
116.06,39.7,代开发票或办证,19
116.05,39.71,代开发票或办证,20
116.06,39.71,代开发票或办证,17
116.42,40.06,代开发票或办证,18
116.41,40.08,代开发票或办证,16
116.41,40.06,代开发票或办证,31
116.42,40.07,代开发票或办证,3
116.51,39.910000000000004,代开发票或办证,138
116.24000000000001,39.910000000000004,代开发票或办证,5
116.25,39.910000000000004,代开发票或办证,35
