lng,lat,class,count
116.44,39.9,淫秽广告,584
116.45,39.88,淫秽广告,19
116.44,39.89,淫秽广告,12
116.45,39.9,淫秽广告,286
116.46000000000001,39.89,淫秽广告,94
116.48,39.9,淫秽广告,76
116.46000000000001,39.92,淫秽广告,128
116.46000000000001,39.910000000000004,淫秽广告,194
116.47,39.910000000000004,淫秽广告,542
116.43,39.94,淫秽广告,42
116.44,39.94,淫秽广告,330
116.4,39.99,淫秽广告,121
116.44,39.93,淫秽广告,40
116.45,39.93,淫秽广告,49
116.38,39.99,淫秽广告,8
116.38,40.0,淫秽广告,2
116.47,39.83,代开发票或办证,58
116.48,39.800000000000004,代开发票或办证,18
116.47,39.87,代开发票或办证,97
116.47,39.88,代开发票或办证,290
116.32000000000001,39.69,代开发票或办证,14
116.31,39.68,代开发票或办证,12
116.47,39.92,代开发票或办证,111
116.49000000000001,39.89,代开发票或办证,155
116.48,39.89,代开发票或办证,217
116.46000000000001,39.89,代开发票或办证,339
116.47,39.89,代开发票或办证,413
116.43,40.050000000000004,代开发票或办证,8
116.54,39.76,代开发票或办证,57
116.46000000000001,39.9,代开发票或办证,291
116.47,39.910000000000004,代开发票或办证,331
116.12,39.71,代开发票或办证,8
116.12,39.72,代开发票或办证,26
116.72,39.85,代开发票或办证,10
116.47,39.95,淫秽广告,27
116.46000000000001,39.95,淫秽广告,123
116.10000000000001,39.71,代开发票或办证,12
116.11,39.72,代开发票或办证,15
116.46000000000001,39.88,代开发票或办证,515
116.47,39.86,代开发票或办证,130
116.48,39.87,代开发票或办证,81
116.46000000000001,39.93,代开发票或办证,190
116.46000000000001,39.83,代开发票或办证,54
116.48,39.9,代开发票或办证,130
116.49000000000001,39.9,代开发票或办证,113
116.46000000000001,39.87,代开发票或办证,380
116.57000000000001,39.79,代开发票或办证,9
116.57000000000001,39.800000000000004,代开发票或办证,19
116.27,40.08,代开发票或办证,18
116.43,39.96,代开发票或办证,94
116.44,39.96,代开发票或办证,198
116.5,39.87,代开发票或办证,58
116.49000000000001,39.87,代开发票或办证,60
116.65,39.93,代开发票或办证,43
116.33,39.78,代开发票或办证,6
116.34,39.78,代开发票或办证,45
116.41,39.85,代开发票或办证,190
116.68,39.93,代开发票或办证,41
116.68,39.92,代开发票或办证,30
116.45,39.910000000000004,淫秽广告,313
116.48,39.88,代开发票或办证,94
116.49000000000001,39.88,代开发票或办证,34
116.63,39.9,代开发票或办证,102
116.7,39.910000000000004,代开发票或办证,13
116.75,39.89,代开发票或办证,3
116.39,39.85,代开发票或办证,237
116.4,39.84,代开发票或办证,44
116.28,40.14,代开发票或办证,13
116.3,40.15,代开发票或办证,5
116.3,40.160000000000004,代开发票或办证,1
116.47,39.9,代开发票或办证,208
116.4,40.0,代开发票或办证,72
116.41,40.02,代开发票或办证,45
