lng,lat,class,count
116.46000000000001,39.93,淫秽广告,41
116.45,39.93,淫秽广告,44
116.36,39.94,代开发票或办证,15
116.35000000000001,39.94,代开发票或办证,14
116.36,39.93,代开发票或办证,3
116.36,39.92,代开发票或办证,8
116.44,39.94,淫秽广告,367
116.44,39.97,淫秽广告,2
116.42,39.97,淫秽广告,5
116.43,39.97,淫秽广告,29
116.43,39.980000000000004,淫秽广告,11
116.45,39.94,淫秽广告,117
116.46000000000001,39.94,淫秽广告,123
116.4,39.99,淫秽广告,168
116.45,39.95,淫秽广告,65
116.47,39.95,淫秽广告,29
116.46000000000001,39.95,淫秽广告,86
116.46000000000001,39.84,代开发票或办证,11
116.45,39.86,代开发票或办证,86
116.46000000000001,39.86,代开发票或办证,87
116.47,39.86,代开发票或办证,53
116.41,39.85,代开发票或办证,116
116.47,39.89,代开发票或办证,214
116.47,39.88,代开发票或办证,88
116.41,39.9,代开发票或办证,69
116.41,39.980000000000004,淫秽广告,23
116.41,39.99,淫秽广告,35
116.48,39.910000000000004,代开发票或办证,360
116.48,39.92,代开发票或办证,342
116.5,39.93,代开发票或办证,162
116.51,39.92,代开发票或办证,242
116.52,39.92,代开发票或办证,94
116.44,39.9,淫秽广告,441
116.36,39.84,代开发票或办证,86
116.49000000000001,39.910000000000004,代开发票或办证,281
116.49000000000001,39.9,代开发票或办证,191
116.5,39.9,代开发票或办证,76
116.48,39.9,代开发票或办证,143
116.63,39.89,代开发票或办证,15
116.5,39.92,代开发票或办证,326
116.37,39.99,代开发票或办证,63
116.43,39.910000000000004,代开发票或办证,15
116.43,39.92,代开发票或办证,216
116.62,39.89,代开发票或办证,11
116.7,39.94,代开发票或办证,3
116.54,39.75,代开发票或办证,63
116.53,39.75,代开发票或办证,1
116.34,39.84,代开发票或办证,43
116.34,39.85,代开发票或办证,39
116.44,39.96,代开发票或办证,222
116.45,39.96,代开发票或办证,164
116.44,39.92,代开发票或办证,134
116.44,39.95,代开发票或办证,79
116.43,39.97,代开发票或办证,11
116.45,39.92,代开发票或办证,300
116.47,39.96,代开发票或办证,84
116.7,39.83,代开发票或办证,3
116.7,39.84,代开发票或办证,3
116.69,39.83,代开发票或办证,2
116.31,39.74,代开发票或办证,27
116.3,39.74,代开发票或办证,5
116.47,39.9,代开发票或办证,209
116.52,39.9,代开发票或办证,44
116.45,39.88,代开发票或办证,111
116.46000000000001,39.88,代开发票或办证,206
116.33,39.72,代开发票或办证,57
116.34,39.72,代开发票或办证,19
116.49000000000001,39.89,代开发票或办证,147
116.35000000000001,39.910000000000004,代开发票或办证,49
116.35000000000001,39.92,代开发票或办证,13
116.49000000000001,39.92,代开发票或办证,272
116.36,39.86,代开发票或办证,54
116.34,39.78,代开发票或办证,23
116.32000000000001,39.78,代开发票或办证,14
116.46000000000001,39.89,代开发票或办证,204
116.45,39.87,代开发票或办证,82
116.36,39.99,代开发票或办证,39
116.65,39.88,代开发票或办证,24
116.66,39.88,代开发票或办证,162
116.66,39.87,代开发票或办证,16
116.45,39.910000000000004,代开发票或办证,166
116.46000000000001,39.910000000000004,代开发票或办证,268
116.4,39.99,代开发票或办证,131
116.67,39.88,代开发票或办证,55
116.67,39.89,代开发票或办证,40
116.69,39.86,代开发票或办证,27
116.54,39.93,代开发票或办证,25
116.5,39.97,代开发票或办证,29
116.52,39.980000000000004,代开发票或办证,6
116.51,39.97,代开发票或办证,7
